,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
264,009440,KC그린홀딩스,833억원,"2,243만주",기타 금융업,기타금융업,기계
265,009450,경동나비엔,"5,420억원","1,273만주",가정용 기기 제조업,전기전자,"화장품,의류,완구"
266,009470,삼화전기,"1,412억원",661만주,전자부품 제조업,전기전자,IT가전
267,009520,포스코엠텍,"2,694억원","4,164만주",1차 철강 제조업,금속,철강
268,009580,무림P&P,"4,222억원","6,236만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
269,009620,삼보산업,249억원,412만주,1차 비철금속 제조업,금속,"비철,목재등"
270,009680,모토닉,"2,821억원","3,300만주",자동차 신품 부품 제조업,운수장비,자동차
271,009730,코센,429억원,"4,173만주",1차 철강 제조업,금속,"비철,목재등"
272,009770,삼정펄프,833억원,249만주,"펄프, 종이 및 판지 제조업",종이목재,필수소비재
273,009780,엠에스씨,"1,247억원","1,760만주",기타 식품 제조업,"음식료,담배",필수소비재
274,009970,영원무역홀딩스,"8,549억원","1,363만주",기타 금융업,기타금융업,"화장품,의류,완구"
275,010050,우리종금,"5,380억원","67,420만주",기타 금융업,기타금융업,은행
276,010060,OCI,"23,706억원","2,384만주",기초 화학물질 제조업,화학,화학
277,010130,고려아연,"82,273억원","1,887만주",1차 비철금속 제조업,철강금속,"비철,목재등"
278,010140,삼성중공업,"48,888억원","63,000만주",선박 및 보트 건조업,운수장비,조선
279,010170,대한광통신,"3,572억원","7,374만주",절연선 및 케이블 제조업,일반전기전자,기계
280,010280,쌍용정보통신,434억원,"4,046만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
281,010470,오리콤,557억원,"1,149만주",광고업,전문기술,"미디어,교육"
282,010580,지코,358억원,"5,052만주",자동차 신품 부품 제조업,운수장비,자동차
283,010600,웰바이오텍,"1,714억원","2,316만주",상품 중개업,유통업,"화장품,의류,완구"
284,010770,평화홀딩스,582억원,"1,462만주",자동차 신품 부품 제조업,운수장비,자동차
285,010780,아이에스동서,"9,240억원","3,085만주","내화, 비내화 요업제품 제조업",비금속광물,"건설,건축관련"
286,010820,퍼스텍,"1,517억원","4,676만주",무기 및 총포탄 제조업,기계,"상사,자본재"
287,010950,S-Oil,"126,655억원","11,258만주",석유 정제품 제조업,화학,에너지
288,010960,삼호개발,"1,172억원","2,500만주",기반조성 및 시설물 축조관련 전문공사업,건설업,"건설,건축관련"
289,011000,진원생명과학,"1,071억원","2,117만주",의약품 제조업,의약품,건강관리
290,011040,경동제약,"3,252억원","2,655만주",의약품 제조업,제약,건강관리
291,011070,LG이노텍,"22,957억원","2,366만주",전자부품 제조업,전기전자,IT하드웨어
292,011090,에넥스,671억원,"5,999만주",가구 제조업,미분류,"건설,건축관련"
293,011150,CJ씨푸드,851억원,"3,593만주",기타 식품 제조업,음식료품,필수소비재
294,011170,롯데케미칼,"95,628억원","3,427만주",기초 화학물질 제조업,화학,화학
295,011280,태림포장,"2,287억원","7,080만주","골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
296,011300,성안,324억원,"5,685만주",직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
297,011320,유니크,707억원,"1,932만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
298,011330,유니켐,888억원,"5,962만주","가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
299,011370,서한,"1,800억원","10,089만주",건물 건설업,종합건설,"건설,건축관련"
300,011390,부산산업,"1,726억원",105만주,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
301,011420,갤럭시아에스엠,418억원,"2,754만주",스포츠 서비스업,서비스업,"미디어,교육"
302,011560,세보엠이씨,890억원,"1,053만주",건물설비 설치 공사업,전문건설,"건설,건축관련"
303,011790,SKC,"13,062억원","3,753만주",기타 화학제품 제조업,화학,화학
304,011810,STX,"2,611억원","1,845만주",상품 종합 도매업,유통업,"상사,자본재"
305,011930,신성이엔지,"1,946억원","17,299만주",반도체 제조업,전기전자,반도체
306,012030,DB,"1,744억원","20,117만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
307,012200,계양전기,"1,039억원","3,260만주",일반 목적용 기계 제조업,기계,자동차
308,012280,영화금속,581억원,"4,545만주",자동차 신품 부품 제조업,운수장비,자동차
309,012320,경동인베스트,917억원,236만주,석탄 광업,기타금융업,에너지
310,012340,뉴인텍,341억원,"4,912만주",전자부품 제조업,IT부품,IT가전
311,012510,더존비즈온,"13,174억원","2,967만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
312,012610,경인양행,"2,419억원","4,039만주",기초 화학물질 제조업,화학,화학
313,012620,원일특강,431억원,440만주,1차 철강 제조업,금속,철강
314,012630,HDC,"10,932억원","5,974만주",기타 금융업,기타금융업,"건설,건축관련"
315,012690,모나리자,"1,375억원","3,657만주",기타 종이 및 판지 제품 제조업,종이목재,필수소비재
316,012700,리드코프,"1,514억원","2,674만주",기타 전문 도매업,도매,은행
317,012750,에스원,"36,631억원","3,799만주","경비, 경호 및 탐정업",서비스업,"상사,자본재"
318,012790,신일제약,781억원,790만주,의약품 제조업,제약,건강관리
319,012800,대창,833억원,"9,114만주",1차 비철금속 제조업,철강금속,"비철,목재등"
320,013000,세우글로벌,390억원,"2,369만주",기타 전문 도매업,유통업,소매(유통)
321,013030,하이록코리아,"2,525억원","1,361만주",1차 철강 제조업,금속,기계
322,013120,동원개발,"3,550억원","9,080만주",건물 건설업,종합건설,"건설,건축관련"
323,013310,아진산업,563억원,"2,973만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
324,013360,일성건설,629억원,"5,402만주",토목 건설업,건설업,"건설,건축관련"
325,013570,디와이,"1,423억원","2,631만주",기타 금융업,기타금융업,기계
326,013700,까뮤이앤씨,458억원,"4,515만주",건물 건설업,건설업,"건설,건축관련"
327,013810,스페코,548억원,"1,465만주",특수 목적용 기계 제조업,"기계,장비",기계
328,013870,지엠비코리아,"1,235억원","1,907만주",자동차 신품 부품 제조업,운수장비,자동차
329,013990,아가방컴퍼니,"1,312억원","3,288만주",생활용품 도매업,도매,"화장품,의류,완구"
330,014160,대영포장,986억원,"10,839만주","골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
331,014190,원익큐브,996억원,"3,539만주",기타 전문 도매업,도매,화학
332,014200,광림,"1,309억원","4,849만주",자동차용 엔진 및 자동차 제조업,"운송장비,부품",기계
333,014280,금강공업,"1,024억원",485만주,1차 철강 제조업,철강금속,"건설,건축관련"
334,014440,영보화학,721억원,"2,000만주",플라스틱제품 제조업,화학,화학
335,014470,부방,976억원,"4,729만주",기타 금융업,금융,"화장품,의류,완구"
336,014530,극동유화,"1,168억원","3,486만주",석유 정제품 제조업,화학,에너지
337,014570,고려제약,814억원,"1,100만주",의약품 제조업,제약,건강관리
338,014620,성광벤드,"3,360억원","2,860만주",1차 철강 제조업,금속,기계
339,014710,사조씨푸드,"1,086억원","1,721만주",수산물 가공 및 저장 처리업,음식료품,필수소비재
340,014820,동원시스템즈,"7,096억원","2,561만주",플라스틱제품 제조업,화학,"비철,목재등"
341,014830,유니드,"3,404억원",888만주,기초 화학물질 제조업,화학,화학
342,014910,성문전자,502억원,"1,948만주",전자부품 제조업,전기전자,IT가전
343,014940,오리엔탈정공,350억원,"4,557만주",일반 목적용 기계 제조업,"기계,장비",조선
344,014970,삼륭물산,638억원,"1,512만주","골판지, 종이 상자 및 종이용기 제조업","종이,목재","비철,목재등"
345,014990,인디에프,"1,320억원","5,893만주",봉제의복 제조업,섬유의복,"화장품,의류,완구"
346,015020,이스타코,274억원,"4,285만주",부동산 임대 및 공급업,서비스업,"미디어,교육"
347,015230,대창단조,810억원,200만주,자동차 신품 부품 제조업,운수장비,기계
348,015260,에이엔피,354억원,"8,278만주",전자부품 제조업,전기전자,IT하드웨어
349,015360,예스코홀딩스,"2,475억원",600만주,기타 금융업,기타금융업,유틸리티
350,015590,큐로,735억원,"12,473만주",일반 목적용 기계 제조업,기계,기계
351,015710,코콤,"1,150억원","1,753만주",통신 및 방송 장비 제조업,통신장비,IT하드웨어
352,015750,성우하이텍,"2,800억원","8,000만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
353,015860,일진홀딩스,"1,485억원","4,934만주",기타 금융업,기타금융업,기계
354,015890,태경산업,"1,619억원","2,922만주",기초 화학물질 제조업,화학,"비철,목재등"
355,016090,대현,930억원,"4,528만주",봉제의복 제조업,섬유의복,"화장품,의류,완구"
356,016100,리더스코스메틱,"2,180억원","1,817만주",기타 화학제품 제조업,화학,"화장품,의류,완구"
357,016360,삼성증권,"26,120억원","8,930만주",금융 지원 서비스업,증권,증권
358,016590,신대양제지,"2,587억원",402만주,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
359,016600,큐캐피탈,"1,003억원","13,999만주",기타 금융업,금융,은행
360,016610,DB금융투자,"1,829억원","4,244만주",금융 지원 서비스업,증권,증권
361,016710,대성홀딩스,"1,039억원","1,608만주",회사 본부 및 경영 컨설팅 서비스업,서비스업,유틸리티
362,016740,두올,790억원,"2,706만주",자동차 신품 부품 제조업,운수장비,자동차
363,016800,퍼시스,"3,432억원","1,150만주",가구 제조업,미분류,"건설,건축관련"
364,016880,웅진,"1,598억원","7,267만주",기타 금융업,기타금융업,"상사,자본재"
365,016920,카스,289억원,"2,147만주",기계장비 및 관련 물품 도매업,도매,IT하드웨어
366,017000,신원종합개발,345억원,"1,006만주",건물 건설업,종합건설,"건설,건축관련"
367,017040,광명전기,"1,115억원","4,333만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기전자,기계
368,017180,명문제약,"1,396억원","2,454만주",의약품 제조업,의약품,건강관리
369,017250,인터엠,572억원,"2,104만주",영상 및 음향기기 제조업,일반전기전자,IT하드웨어
370,017370,우신시스템,"1,183억원","1,831만주",특수 목적용 기계 제조업,기계,자동차
371,017480,삼현철강,718억원,"1,570만주",1차 철강 제조업,금속,철강
372,017510,세명전기,"1,048억원","1,524만주",기타 금속 가공제품 제조업,금속,기계
373,017550,수산중공업,831억원,"5,398만주",특수 목적용 기계 제조업,기계,기계
374,017650,대림제지,805억원,"4,500만주",기타 종이 및 판지 제품 제조업,"종이,목재","비철,목재등"
375,017670,SK텔레콤,"229,317억원","8,074만주",전기 통신업,통신업,통신서비스
376,017810,풀무원,"3,268억원",380만주,기타 식품 제조업,음식료품,필수소비재
377,017900,광전자,"1,158억원","5,794만주",반도체 제조업,전기전자,IT하드웨어
378,017940,E1,"4,143억원",686만주,기타 전문 도매업,유통업,유틸리티
379,018000,유니슨,"1,549억원","9,360만주",일반 목적용 기계 제조업,"기계,장비",기계
380,018120,진로발효,"2,253억원",752만주,알코올음료 제조업,"음식료,담배",필수소비재
381,018250,애경산업,"13,159억원","2,626만주",기타 화학제품 제조업,화학,"화장품,의류,완구"
382,018260,삼성에스디에스,"144,309억원","7,737만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
383,018310,삼목에스폼,"1,661억원","1,470만주","구조용 금속제품, 탱크 및 증기발생기 제조업",금속,"건설,건축관련"
384,018470,조일알미늄,679억원,"6,960만주",1차 비철금속 제조업,철강금속,"비철,목재등"
385,018500,동원금속,403억원,"4,675만주",자동차 신품 부품 제조업,운수장비,자동차
386,018620,우진비앤지,469억원,"1,621만주",의약품 제조업,제약,건강관리
387,018670,SK가스,"6,790억원",905만주,기타 전문 도매업,유통업,유틸리티
388,018680,서울제약,649억원,848만주,의약품 제조업,제약,건강관리
389,018700,바른손,365억원,"1,641만주","영화, 비디오물, 방송프로그램 제작 및 배급업","오락,문화","미디어,교육"
390,019170,신풍제약,"3,793억원","5,298만주",의약품 제조업,의약품,건강관리
391,019180,티에이치엔,376억원,"1,800만주",기타 전기장비 제조업,전기전자,자동차
392,019210,와이지-원,"2,879억원","3,050만주",기타 금속 가공제품 제조업,금속,기계
393,019440,세아특수강,"1,319억원",857만주,1차 철강 제조업,철강금속,철강
394,019540,일지테크,310억원,"1,351만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
395,019550,SBI인베스트먼트,"1,264억원","16,206만주",신탁업 및 집합투자업,금융,은행
396,019590,엠벤처투자,695억원,"11,848만주",신탁업 및 집합투자업,금융,은행
397,019660,글로본,"1,149억원","2,800만주",상품 종합 도매업,도매,"화장품,의류,완구"
398,019680,대교,"5,759억원","8,470만주",초등 교육기관,서비스업,"미디어,교육"
399,019770,서연탑메탈,326억원,"1,165만주",특수 목적용 기계 제조업,"기계,장비",자동차
400,019990,에너토크,410억원,975만주,일반 목적용 기계 제조업,"기계,장비",기계
401,020120,키다리스튜디오,391억원,"1,583만주","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스업,소프트웨어
402,020150,일진머티리얼즈,"21,925억원","4,611만주",전자부품 제조업,전기전자,IT하드웨어
403,020180,대신정보통신,457억원,"3,842만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터서비스,소프트웨어
404,020400,대동금속,189억원,48만주,금속 주조업,금속,자동차
405,020560,아시아나항공,"8,835억원","20,523만주",항공 여객 운송업,운수창고업,운송
406,020710,시공테크,"1,218억원","2,004만주",전문디자인업,전문기술,"호텔,레저서비스"
407,020760,일진디스플,"1,066억원","2,831만주",반도체 제조업,전기전자,디스플레이
408,021050,서원,505억원,"4,747만주",금속 주조업,철강금속,"비철,목재등"
409,021080,에이티넘인베스트,"1,060억원","4,800만주",신탁업 및 집합투자업,금융,은행
410,021240,코웨이,"54,168억원","7,379만주",그외 기타 개인 서비스업,서비스업,"화장품,의류,완구"
411,021320,KCC건설,"1,521억원","2,140만주",건물 건설업,종합건설,"건설,건축관련"
412,021820,세원정공,741억원,"1,000만주",자동차 신품 부품 제조업,운수장비,자동차
413,021880,메이슨캐피탈,406억원,"9,918만주",기타 금융업,금융,은행
414,022100,포스코 ICT,"8,392억원","15,203만주","건축기술, 엔지니어링 및 관련 기술 서비스업",전문기술,소프트웨어
415,022220,정산애강,"1,012억원","5,179만주",플라스틱제품 제조업,화학,"건설,건축관련"
416,023000,삼원강재,"1,120억원","4,000만주",자동차 신품 부품 제조업,운수장비,자동차
417,023150,MH에탄올,394억원,737만주,알코올음료 제조업,음식료품,필수소비재
418,023160,태광,"3,219억원","2,650만주",1차 철강 제조업,금속,기계
419,023410,유진기업,"4,496억원","7,712만주","시멘트, 석회, 플라스터 및 그 제품 제조업",비금속,"건설,건축관련"
420,023440,제일제강,382억원,"2,603만주",1차 철강 제조업,금속,철강
421,023450,동남합성,788억원,131만주,기초 화학물질 제조업,화학,화학
422,023460,CNH,513억원,"3,720만주",신탁업 및 집합투자업,금융,은행
423,023530,롯데쇼핑,"64,356억원","2,828만주",종합 소매업,유통업,소매(유통)
424,023590,다우기술,"8,928억원","4,486만주","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서비스업,소프트웨어
425,023600,삼보판지,"1,396억원","1,470만주","펄프, 종이 및 판지 제조업","종이,목재","비철,목재등"
426,023770,플레이위드,219억원,346만주,소프트웨어 개발 및 공급업,디지털컨텐츠,소프트웨어
427,023790,동일철강,270억원,734만주,1차 철강 제조업,금속,철강
428,023800,인지컨트롤스,768억원,"1,516만주",자동차 신품 부품 제조업,운수장비,자동차
429,023810,인팩,321억원,"1,000만주",자동차 신품 부품 제조업,운수장비,자동차
430,023900,풍국주정,"1,157억원","1,260만주",알코올음료 제조업,"음식료,담배",필수소비재
431,023910,대한약품,"2,424억원",600만주,의약품 제조업,제약,건강관리
432,023960,에쓰씨엔지니어링,406억원,"2,501만주",토목 건설업,건설업,"건설,건축관련"
433,024070,WISCOM,392억원,"1,502만주",플라스틱제품 제조업,화학,화학
434,024090,디씨엠,"1,398억원","1,170만주",1차 철강 제조업,철강금속,"비철,목재등"
435,024110,기업은행,"83,716억원","55,997만주",은행 및 저축기관,은행,은행
436,024120,KB오토시스,603억원,"1,150만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
437,024800,유성티엔에스,757억원,"2,721만주",육상 여객 운송업,육상운송,운송
438,024810,이화전기,"1,619억원","60,203만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT부품,기계
439,024830,세원물산,434억원,835만주,자동차 신품 부품 제조업,"운송장비,부품",자동차
440,024850,피에스엠씨,332억원,"3,872만주",전자부품 제조업,반도체,반도체
441,024880,케이피에프,631억원,"1,572만주",기타 금속 가공제품 제조업,금속,기계
442,024890,대원화성,591억원,"4,124만주",플라스틱제품 제조업,화학,"화장품,의류,완구"
443,024900,덕양산업,394억원,"3,256만주",자동차 신품 부품 제조업,운수장비,자동차
444,024910,경창산업,562억원,"3,581만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
445,024940,PN풍년,226억원,"1,000만주",기타 금속 가공제품 제조업,금속,"화장품,의류,완구"
446,024950,삼천리자전거,826억원,"1,327만주",생활용품 도매업,도매,"화장품,의류,완구"
447,025000,KPX케미칼,"2,516억원",484만주,기초 화학물질 제조업,화학,화학
448,025320,시노펙스,"1,932억원","7,014만주",전자부품 제조업,IT부품,IT하드웨어
449,025440,대성엘텍,749억원,"9,966만주",영상 및 음향기기 제조업,일반전기전자,자동차
450,025560,미래산업,"1,180억원","63,481만주","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료정밀,반도체
451,025620,제이준코스메틱,"3,103억원","2,652만주",기타 화학제품 제조업,화학,"화장품,의류,완구"
452,025820,이구산업,630억원,"3,344만주",1차 비철금속 제조업,철강금속,"비철,목재등"
453,025860,남해화학,"5,688억원","4,967만주","비료, 농약 및 살균, 살충제 제조업",화학,화학
454,025870,신라에스지,193억원,400만주,음·식료품 및 담배 도매업,도매,필수소비재
455,025880,케이씨피드,356억원,"1,671만주",동물용 사료 및 조제식품 제조업,"음식료,담배",필수소비재
456,025900,동화기업,"3,711억원","1,435만주",나무제품 제조업,"종이,목재","건설,건축관련"
457,025950,동신건설,489억원,840만주,토목 건설업,종합건설,"건설,건축관련"
458,025980,아난티,"7,894억원","8,232만주",스포츠 서비스업,"숙박,음식","호텔,레저서비스"
459,026040,제이에스티나,922억원,"1,650만주",귀금속 및 장신용품 제조업,기타제조,"화장품,의류,완구"
460,026150,특수건설,752억원,"1,499만주",토목 건설업,종합건설,"건설,건축관련"
461,026890,디피씨,"3,175억원","4,167만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기전자,IT가전
462,026910,광진실업,215억원,640만주,1차 철강 제조업,금속,철강
463,026940,부국철강,592억원,"2,000만주",1차 철강 제조업,철강금속,철강
464,026960,동서,"18,045억원","9,970만주",음·식료품 및 담배 도매업,유통업,필수소비재
465,027040,서울전자통신,864억원,"6,476만주",그외 기타 제품 제조업,도매,IT가전
466,027050,코리아나,"1,820억원","4,000만주",기타 화학제품 제조업,화학,"화장품,의류,완구"
467,027410,BGF,"7,629억원","9,536만주",기타 금융업,기타금융업,소매(유통)
468,027580,상보,508억원,"2,833만주",전자부품 제조업,화학,디스플레이
469,027710,팜스토리,976억원,"8,834만주",동물용 사료 및 조제식품 제조업,"음식료,담배",필수소비재
470,027740,마니커,"1,047억원","13,306만주","도축, 육류 가공 및 저장 처리업",음식료품,필수소비재
471,027830,대성창투,696억원,"4,000만주",신탁업 및 집합투자업,금융,은행
472,027970,세하,378억원,"2,956만주","펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
473,028050,삼성엔지니어링,"35,574억원","19,600만주","건축기술, 엔지니어링 및 관련 기술 서비스업",서비스업,"건설,건축관련"
474,028100,동아지질,"1,627억원","1,150만주",기반조성 및 시설물 축조관련 전문공사업,건설업,"건설,건축관련"
475,028260,삼성물산,"196,329억원","18,969만주",기타 전문 도매업,유통업,"상사,자본재"
476,028300,에이치엘비,"32,298억원","3,910만주",선박 및 보트 건조업,"운송장비,부품",조선
477,028670,팬오션,"23,280억원","53,456만주",해상 운송업,운수창고업,운송
478,029460,케이씨,"1,904억원","1,355만주","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",의료정밀,반도체
479,029530,신도리코,"4,798억원","1,008만주",컴퓨터 및 주변장치 제조업,전기전자,IT하드웨어
480,029780,삼성카드,"38,696억원","11,585만주",기타 금융업,기타금융업,은행
481,029960,코엔텍,"3,805억원","5,000만주",폐기물 처리업,환경,"상사,자본재"
482,030000,제일기획,"26,401억원","11,504만주",광고업,서비스업,"미디어,교육"
483,030190,NICE평가정보,"6,891억원","6,071만주",기타 정보 서비스업,기타서비스,"상사,자본재"
484,030210,KTB투자증권,"1,981억원","6,031만주",금융 지원 서비스업,증권,증권
485,030350,드래곤플라이,508억원,"1,600만주",소프트웨어 개발 및 공급업,디지털컨텐츠,소프트웨어
486,030530,원익홀딩스,"3,031억원","7,723만주",기타 금융업,금융,반도체
487,030610,교보증권,"3,430억원","3,600만주",금융 지원 서비스업,증권,증권
488,030720,동원수산,431억원,463만주,어로 어업,미분류,필수소비재
489,030960,양지사,"1,473억원","1,598만주",인쇄 및 인쇄관련 산업,"출판,매체복제","화장품,의류,완구"
490,031310,아이즈비전,783억원,"1,577만주",전기 통신업,통신장비,IT하드웨어
491,031330,에스에이엠티,"1,714억원","9,999만주",기계장비 및 관련 물품 도매업,도매,IT하드웨어
492,031430,신세계인터내셔날,"12,387억원",714만주,"섬유, 의복, 신발 및 가죽제품 소매업",유통업,"화장품,의류,완구"
493,031440,신세계푸드,"3,365억원",387만주,음식점업,서비스업,"호텔,레저서비스"
494,031510,오스템,"1,262억원","2,600만주",자동차 신품 부품 제조업,"운송장비,부품",자동차
495,031820,콤텍시스템,641억원,"4,785만주","컴퓨터 프로그래밍, 시스템 통합 및 관리업",서비스업,소프트웨어
496,031860,엔에스엔,343억원,"2,107만주",상품 종합 도매업,도매,"화장품,의류,완구"
497,032080,아즈텍WB,358억원,"2,091만주","섬유제품 염색, 정리 및 마무리 가공업","섬유,의류","화장품,의류,완구"
498,032190,다우데이타,"3,485억원","3,830만주",기계장비 및 관련 물품 도매업,도매,증권
499,032280,삼일,334억원,"1,621만주",도로 화물 운송업,육상운송,운송
500,032350,롯데관광개발,"8,103억원","6,456만주",여행사 및 기타 여행보조 서비스업,서비스업,"호텔,레저서비스"
501,032500,케이엠더블유,"3,847억원","1,610만주",통신 및 방송 장비 제조업,통신장비,IT하드웨어
502,032540,TJ미디어,440억원,"1,393만주",영상 및 음향기기 제조업,일반전기전자,IT가전
503,032580,피델릭스,374억원,"2,144만주",반도체 제조업,반도체,반도체
504,032620,유비케어,"2,142억원","5,219만주",소프트웨어 개발 및 공급업,소프트웨어,건강관리
505,032640,LG유플러스,"70,076억원","43,661만주",전기 통신업,통신업,통신서비스
506,032680,소프트센,481억원,"3,272만주",기계장비 및 관련 물품 도매업,도매,소프트웨어
507,032750,삼진,372억원,600만주,통신 및 방송 장비 제조업,일반전기전자,IT가전
508,032800,판타지오,411억원,"7,270만주",창작 및 예술관련 서비스업,"오락,문화","미디어,교육"
509,032820,우리기술,969억원,"8,539만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일반전기전자,IT하드웨어
510,032830,삼성생명,"180,800억원","20,000만주",보험업,보험업,보험
511,032850,비트컴퓨터,854억원,"1,662만주",소프트웨어 개발 및 공급업,소프트웨어,건강관리
512,032940,원익,836억원,"1,793만주",기계장비 및 관련 물품 도매업,도매,건강관리
513,032960,동일기연,774억원,614만주,전자부품 제조업,IT부품,IT하드웨어
514,032980,바이온,873억원,"4,660만주",음·식료품 및 담배 도매업,도매,건강관리
515,033050,제이엠아이,376억원,"3,257만주",기록매체 복제업,"출판,매체복제",디스플레이
516,033100,제룡전기,"1,270억원","1,606만주","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT부품,기계
517,033130,디지틀조선,666억원,"3,711만주","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",디지털컨텐츠,"미디어,교육"
518,033160,엠케이전자,"1,844억원","2,180만주",전자부품 제조업,반도체,반도체
519,033170,시그네틱스,687억원,"8,572만주",반도체 제조업,반도체,반도체
520,033200,모아텍,644억원,"1,433만주",전자부품 제조업,IT부품,IT하드웨어
